review_id,kind,category,pack,review_state,asset_name,asset_class,object_path,source_score,source_score_reasons
M0001,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_Barrier,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Barrier.SM_Barrier,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0002,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_2.SM_barrier_2,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0003,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_3_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_A.SM_barrier_3_A,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0004,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_3_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_B.SM_barrier_3_B,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0005,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_5,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_5.SM_barrier_5,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0006,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_6,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_6.SM_barrier_6,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0007,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_7_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_A.SM_barrier_7_A,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0008,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_7_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_B.SM_barrier_7_B,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0009,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_7_C,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_C.SM_barrier_7_C,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0010,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_barrier_8,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_8.SM_barrier_8,40,keyword:barrier;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0011,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_Fence_1,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_1.SM_Fence_1,40,keyword:fence;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0012,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_Fence_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_2.SM_Fence_2,40,keyword:fence;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0013,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_Fence_3,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_3.SM_Fence_3,40,keyword:fence;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
M0014,MESH,barrier_fence,Street_Props_Pack_V1,PENDING,SM_Fence_4,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_4.SM_Fence_4,40,keyword:fence;static_mesh;preferred_street_props_pack;mesh_naming;normal_path_depth
