review_id,decision,role,asset_name,object_path,basis,notes
A001,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst1,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst1.MI_AsphaltMat_Inst1,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A002,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst10,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst10.MI_AsphaltMat_Inst10,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A003,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst2,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst2.MI_AsphaltMat_Inst2,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A004,RESERVE,DAMAGED_ROAD,MI_AsphaltMat_Inst3,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst3.MI_AsphaltMat_Inst3,VISUAL,Visually selected for heavily damaged road zones.
A005,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst4,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst4.MI_AsphaltMat_Inst4,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A006,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst5,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst5.MI_AsphaltMat_Inst5,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A007,RESERVE,AGED_CRACKED_ROAD,MI_AsphaltMat_Inst6,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst6.MI_AsphaltMat_Inst6,VISUAL,"Visually selected for aged roads, parking areas and secondary streets."
A008,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst7,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst7.MI_AsphaltMat_Inst7,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A009,REJECTED,ROAD_MATERIAL,MI_AsphaltMat_Inst8,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst8.MI_AsphaltMat_Inst8,AUTO_POLICY,Not selected among the visually reviewed asphalt production variants.
A010,APPROVED,PRIMARY_ROAD,MI_AsphaltMat_Inst9,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst9.MI_AsphaltMat_Inst9,VISUAL,Primary dark asphalt selected visually for the road network.
M0001,APPROVED,BARRIER_FENCE,SM_Barrier,/Game/Street_Props_Pack_V1/Mesh/SM_Barrier.SM_Barrier,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0002,APPROVED,BARRIER_FENCE,SM_barrier_2,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_2.SM_barrier_2,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0003,APPROVED,BARRIER_FENCE,SM_barrier_3_A,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_A.SM_barrier_3_A,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0004,APPROVED,BARRIER_FENCE,SM_barrier_3_B,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_B.SM_barrier_3_B,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0005,APPROVED,BARRIER_FENCE,SM_barrier_5,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_5.SM_barrier_5,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0006,APPROVED,BARRIER_FENCE,SM_barrier_6,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_6.SM_barrier_6,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0007,APPROVED,BARRIER_FENCE,SM_barrier_7_A,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_A.SM_barrier_7_A,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0008,APPROVED,BARRIER_FENCE,SM_barrier_7_B,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_B.SM_barrier_7_B,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0009,APPROVED,BARRIER_FENCE,SM_barrier_7_C,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_C.SM_barrier_7_C,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0010,APPROVED,BARRIER_FENCE,SM_barrier_8,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_8.SM_barrier_8,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0011,APPROVED,BARRIER_FENCE,SM_Fence_1,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_1.SM_Fence_1,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0012,APPROVED,BARRIER_FENCE,SM_Fence_2,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_2.SM_Fence_2,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0013,APPROVED,BARRIER_FENCE,SM_Fence_3,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_3.SM_Fence_3,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0014,APPROVED,BARRIER_FENCE,SM_Fence_4,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_4.SM_Fence_4,AUTO_POLICY,Selected by deterministic production policy: high source score and variant-family diversity.
M0015,RESERVE,BARRIER_FENCE,SM_Fence_5,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_5.SM_Fence_5,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0016,RESERVE,BARRIER_FENCE,SM_Fence_6_A,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_A.SM_Fence_6_A,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0017,RESERVE,BARRIER_FENCE,SM_Fence_6_B,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_B.SM_Fence_6_B,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0018,RESERVE,BARRIER_FENCE,SM_Fence_6_C,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_C.SM_Fence_6_C,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0019,RESERVE,BARRIER_FENCE,SM_Fence_7,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_7.SM_Fence_7,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0020,RESERVE,BARRIER_FENCE,SM_Fence_8_A,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_A.SM_Fence_8_A,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0021,RESERVE,BARRIER_FENCE,SM_Fence_8_B,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_B.SM_Fence_8_B,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0022,RESERVE,BARRIER_FENCE,SM_Fence_8_C,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_C.SM_Fence_8_C,AUTO_POLICY,Kept as deterministic reserve for visual variety or district-specific dressing.
M0023,APPROVED,STREET_PROP,SM_Bench,/Game/Street_Props_Pack_V1/Mesh/SM_Bench.SM_Bench,VISUAL,Bench selected visually.
M0024,APPROVED,STREET_PROP,SM_Bench_2,/Game/Street_Props_Pack_V1/Mesh/SM_Bench_2.SM_Bench_2,VISUAL,Bench variant selected visually.
M0025,APPROVED,STREET_SIGN,SM_Sign_1,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_1.SM_Sign_1,VISUAL,Street sign selected visually.
