mount_point,asset_name,object_path,blueprint_asset_class,parent_class,generated_class,skeleton_generated_class,blueprint_type,load_status,audit_notes
/Fab,BP_GlobalFoliageActor_UE5,/Fab/Actors/GlobalFoliageActor/BP_GlobalFoliageActor_UE5.BP_GlobalFoliageActor_UE5,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,AIC_Enemy,/Game/TopDownShooter/Core/AIC_Enemy.AIC_Enemy,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,ABP_Enemy,/Game/TopDownShooter/Core/Animation/ABP_Enemy.ABP_Enemy,AnimBlueprint,,,,,LOADED,parent_class: AnimBlueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'AnimBlueprint'; generated_class: AnimBlueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'AnimBlueprint'; skeleton_generated_class: AnimBlueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'AnimBlueprint'; blueprint_type: AnimBlueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'AnimBlueprint'
/Game,ABP_Hero,/Game/TopDownShooter/Core/Animation/ABP_Hero.ABP_Hero,AnimBlueprint,,,,,LOADED,parent_class: AnimBlueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'AnimBlueprint'; generated_class: AnimBlueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'AnimBlueprint'; skeleton_generated_class: AnimBlueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'AnimBlueprint'; blueprint_type: AnimBlueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'AnimBlueprint'
/Game,BP_Character,/Game/TopDownShooter/Core/BP_Character.BP_Character,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_Enemy,/Game/TopDownShooter/Core/BP_Enemy.BP_Enemy,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_EnemySpawner,/Game/TopDownShooter/Core/BP_EnemySpawner.BP_EnemySpawner,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_FPSCharacter,/Game/TopDownShooter/Core/BP_FPSCharacter.BP_FPSCharacter,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_FPSGameMode,/Game/TopDownShooter/Core/BP_FPSGameMode.BP_FPSGameMode,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_GameMode,/Game/TopDownShooter/Core/BP_GameMode.BP_GameMode,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_Hero,/Game/TopDownShooter/Core/BP_Hero.BP_Hero,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BPI_Damageable,/Game/TopDownShooter/Core/BPI_Damageable.BPI_Damageable,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BPI_GameMode_MP,/Game/TopDownShooter/Core/BPI_GameMode_MP.BPI_GameMode_MP,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,WBP_InGameHUD,/Game/TopDownShooter/Core/WBP_InGameHUD.WBP_InGameHUD,WidgetBlueprint,,,,,LOADED,parent_class: WidgetBlueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'WidgetBlueprint'; generated_class: WidgetBlueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'WidgetBlueprint'; skeleton_generated_class: WidgetBlueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'WidgetBlueprint'; blueprint_type: WidgetBlueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'WidgetBlueprint'
/Game,BP_Gun,/Game/TopDownShooter/Core/Weapon/BP_Gun.BP_Gun,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,BP_Projectile,/Game/TopDownShooter/Core/Weapon/BP_Projectile.BP_Projectile,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,Blueprint_CeilingLight,/Game/TopDownShooter/Ressources/StarterContent/Blueprints/Blueprint_CeilingLight.Blueprint_CeilingLight,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
/Game,Blueprint_Effect_Explosion,/Game/TopDownShooter/Ressources/StarterContent/Blueprints/Blueprint_Effect_Explosion.Blueprint_Effect_Explosion,Blueprint,,,,,LOADED,parent_class: Blueprint: Failed to find property 'parent_class' for attribute 'parent_class' on 'Blueprint'; generated_class: Blueprint: Failed to find property 'generated_class' for attribute 'generated_class' on 'Blueprint'; skeleton_generated_class: Blueprint: Failed to find property 'skeleton_generated_class' for attribute 'skeleton_generated_class' on 'Blueprint'; blueprint_type: Blueprint: Failed to find property 'blueprint_type' for attribute 'blueprint_type' on 'Blueprint'
