review_id,decision,basis,generator_enabled,usage_class,district_pool,season_pool,selection_weight,category,role,pack,asset_name,asset_class,object_path,source_score,notes
A004,RESERVE,VISUAL,false,ROAD_SURFACE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,road_material,DAMAGED_ROAD,AsphaltMat,MI_AsphaltMat_Inst3,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst3.MI_AsphaltMat_Inst3,0,Visually selected for heavily damaged road zones.
A007,RESERVE,VISUAL,false,ROAD_SURFACE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,road_material,AGED_CRACKED_ROAD,AsphaltMat,MI_AsphaltMat_Inst6,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst6.MI_AsphaltMat_Inst6,0,"Visually selected for aged roads, parking areas and secondary streets."
A010,APPROVED,VISUAL,true,ROAD_SURFACE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.00,road_material,PRIMARY_ROAD,AsphaltMat,MI_AsphaltMat_Inst9,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst9.MI_AsphaltMat_Inst9,0,Primary dark asphalt selected visually for the road network.
M0001,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Barrier,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Barrier.SM_Barrier,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0002,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_2.SM_barrier_2,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0003,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_3_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_A.SM_barrier_3_A,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0004,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_3_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_3_B.SM_barrier_3_B,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0005,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_5,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_5.SM_barrier_5,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0006,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_6,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_6.SM_barrier_6,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0007,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_7_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_A.SM_barrier_7_A,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0008,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_7_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_B.SM_barrier_7_B,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0009,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_7_C,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_7_C.SM_barrier_7_C,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0010,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_barrier_8,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_barrier_8.SM_barrier_8,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0011,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_1,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_1.SM_Fence_1,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0012,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_2.SM_Fence_2,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0013,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_3,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_3.SM_Fence_3,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0014,APPROVED,AUTO_POLICY,true,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.89,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_4,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_4.SM_Fence_4,40,Selected by deterministic production policy: high source score and variant-family diversity.
M0015,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_5,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_5.SM_Fence_5,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0016,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_6_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_A.SM_Fence_6_A,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0017,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_6_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_B.SM_Fence_6_B,40,Kept as deterministic reserve for visual variety or district-specific dressing.
